Year,Month,Time,Count,Lat,Lng
2006,1,2,3.0,45.5652301,-73.52294119999999
2006,1,3,1.0,45.528674,-73.5895759
2006,1,1,1.0,45.4988244,-73.579542
2006,2,2,1.0,45.5501414,-73.6441057
2006,2,2,4.0,45.494619,-73.57781779999999
2006,2,1,1.0,45.5022247,-73.5641778
2006,2,1,7.0,45.523254,-73.55379599999999
2006,2,3,1.0,45.5465014,-73.5862731
2006,2,2,1.0,45.50947739999999,-73.5641705
2006,2,1,2.0,45.5440281,-73.54958049999999
2006,3,3,10,45.5146463,-73.5596692
2006,3,3,2.0,45.5705237,-73.62849609999999
2006,3,2,2.0,45.5705237,-73.62849609999999
2006,3,3,1.0,45.465064,-73.5711467
2006,3,3,4.0,45.473025,-73.6110929
2006,3,1,5.0,45.5086938,-73.56483810000002
2006,3,3,1.0,45.4772828,-73.5904247
2006,3,1,2.0,45.4975376,-73.566002
2006,3,2,3.0,45.5145647,-73.5755186
2006,3,3,2.0,45.5816722,-73.62550279999999
2006,3,1,1.0,45.49424639999999,-73.56170709999999
2006,3,3,3.0,45.5431697,-73.5966846
2006,3,1,2.0,45.6567156,-73.4920064
2006,3,2,4.0,45.5262695,-73.5900345
2006,3,3,1.0,45.4420012,-73.66669
2006,3,3,1.0,45.4791149,-73.62508799999999
2006,3,1,1.0,45.63845569999999,-73.5968316
2006,3,3,1.0,45.5212035,-73.5557488
2006,3,2,2.0,45.44154409999999,-73.6870636
2006,3,1,2.0,45.5908746,-73.52602
2006,3,3,3.0,45.5735114,-73.5489087
2006,3,3,1.0,45.476871,-73.5880085
2006,3,2,3.0,45.5211207,-73.6102274
2006,3,3,1.0,45.5791394,-73.5328708
2006,3,1,2.0,45.4910396,-73.551632
2006,3,2,1.0,45.5153926,-73.57593899999999
2006,3,3,1.0,45.5161603,-73.5881777
2006,3,3,1.0,45.4951669,-73.5774601
2006,3,3,2.0,45.5362771,-73.5640495
2006,3,3,1.0,45.5510509,-73.663324
2006,3,2,1.0,45.46407869999999,-73.5645335
2006,3,2,1.0,45.5481832,-73.6003008
2006,4,1,1.0,45.58653409999999,-73.63327249999999
2006,4,3,5.0,45.5308919,-73.5815148
2006,4,2,1.0,45.5689009,-73.56945189999999
2006,4,3,2.0,45.4798125,-73.5671517
2006,4,3,1.0,45.597492,-73.566159
2006,4,2,1.0,45.5152901,-73.60627989999999
2006,4,1,6.0,45.5340065,-73.6049968
2006,4,2,3.0,45.496963,-73.56921129999999
2006,4,3,1.0,45.3481599,-73.7362012
2006,4,1,3.0,45.5235238,-73.5766043
2006,4,2,4.0,45.4733581,-73.835157
2006,4,3,4.0,45.5133643,-73.57303030000001
2006,4,1,3.0,45.4986445,-73.57428879999999
2006,4,1,5.0,45.5223623,-73.57769189999999
2006,4,3,5.0,45.5075284,-73.55870209999999
2006,4,2,9.0,45.5193979,-73.5804406
2006,4,2,5.0,45.5423869,-73.6412781
2006,4,1,2.0,45.5476564,-73.5359724
2006,4,3,4.0,45.5363502,-73.6101724
2006,4,2,10,45.5279446,-73.5639477
2006,4,3,10,45.5125638,-73.5549597
2006,4,2,1.0,45.5558744,-73.5780003
2006,4,2,1.0,45.5169374,-73.68375209999999
2006,4,1,1.0,45.4525233,-73.5722874
2006,4,1,2.0,45.46170559999999,-73.56297889999999
2006,4,3,1.0,45.63279050000001,-73.5878422
2006,4,2,1.0,45.4782287,-73.87311199999999
2006,4,2,1.0,45.6063932,-73.51717599999999
2006,4,3,1.0,45.5505016,-73.6753483
2006,4,1,1.0,45.4337861,-73.60529249999999
2006,4,3,1.0,45.4628203,-73.587969
2006,4,1,1.0,45.4673738,-73.8337146
2006,4,2,3.0,45.4925277,-73.5722621
2006,4,1,1.0,45.5168633,-73.59626759999999
2006,4,2,1.0,45.5307113,-73.60826229999999
2006,4,1,1.0,45.5423868,-73.64127789999999
2006,4,1,2.0,45.5111152,-73.55537520000001
2006,4,2,3.0,45.5248584,-73.59127819999999
2006,4,3,1.0,45.5216879,-73.607309
2006,4,2,2.0,45.6394993,-73.4997039
2006,4,2,1.0,45.54299109999999,-73.67187380000001
2006,4,3,1.0,45.46080509999999,-73.63999079999999
2006,4,2,1.0,45.5985564,-73.6227373
2006,4,3,1.0,45.5379691,-73.57845809999999
2006,4,3,2.0,45.5553343,-73.60830969999999
2006,4,2,1.0,45.54225599999999,-73.633071
2006,4,3,1.0,45.4404281,-73.7219322
2006,4,1,1.0,45.5809439,-73.6101956
2006,4,1,1.0,45.5951268,-73.5565173
2006,5,3,2.0,45.5455074,-73.5945639
2006,5,2,2.0,45.55641319999999,-73.6263235
2006,5,2,2.0,45.52364499999999,-73.5514317
2006,5,1,1.0,45.604555,-73.53016579999999
2006,5,2,1.0,45.5625614,-73.6166715
2006,5,1,1.0,45.501615,-73.775019
2006,5,1,5.0,45.5546263,-73.5544712
2006,5,1,1.0,45.6019957,-73.626346
2006,5,3,1.0,45.5206711,-73.5626225
2006,5,2,2.0,45.521178,-73.553689
2006,5,1,3.0,45.5212384,-73.57874470000002
2006,5,3,0,18.7756318,100.7730417
2006,5,2,3.0,45.5287414,-73.5785526
2006,5,1,1.0,45.5098806,-73.6776946
2006,5,1,1.0,45.4799201,-73.556083
2006,5,1,1.0,45.56648759999999,-73.6028832
2006,5,3,4.0,45.5975271,-73.5702565
2006,5,3,2.0,45.55814170000001,-73.5655645
2006,5,2,1.0,45.5006278,-73.6364368
2006,5,2,1.0,45.5815798,-73.6113262
2006,5,3,1.0,45.605507,-73.61299629999999
2006,5,3,1.0,45.43491059999999,-73.6708199
2006,5,2,2.0,45.5175663,-73.5886699
2006,5,2,3.0,45.519569,-73.5869222
2006,5,2,1.0,45.5993133,-73.512388
2006,5,3,1.0,45.597933,-73.570635
2006,5,1,2.0,45.5595831,-73.58716799999999
2006,5,3,3.0,45.5269703,-73.5729514
2006,5,2,10,45.5329406,-73.5745604
2006,5,2,4.0,45.51505520000001,-73.5751015
2006,5,2,8.0,45.4881367,-73.5880993
2006,5,3,3.0,45.5139822,-73.56878979999999
2006,5,2,3.0,45.5374565,-73.577339
2006,5,3,1.0,45.5176255,-73.5805108
2006,5,1,3.0,45.5346196,-73.56560929999999
2006,5,1,1.0,45.3841996,-74.0098158
2006,5,1,2.0,45.4620965,-73.5924807
2006,5,3,3.0,45.502506,-73.5759301
2006,5,1,1.0,45.576271,-73.56785529999999
2006,5,1,4.0,45.5182105,-73.58810299999999
2006,5,3,1.0,45.546139,-73.5345394
2006,5,2,4.0,45.524297,-73.5758961
2006,5,1,1.0,45.5175448,-73.5687988
2006,5,1,2.0,45.5164287,-73.5799139
2006,5,1,1.0,45.5892776,-73.5630599
2006,5,2,3.0,45.510319,-73.57500329999999
2006,5,2,10,45.5125638,-73.5549597
2006,5,1,1.0,45.5600734,-73.6507993
2006,5,1,2.0,45.5117392,-73.6155342
